Navn;Egendefinert enhet (maks 4 tegn);MVA.;Variant1 navn;Variant1 variant;Variant2 navn;Variant2 variant;Variant3 navn;Variant3 variant;SKU;Pris;Innkjøpspris;Strekkode;På lager;Variant-ID;Produkt-ID;ID (Ikke rediger): [n-un-vat-vo0n-vo0v-vo1n-vo1v-vo2n-vo2v-sku-p-cp-bc-ib-vid-id-k]
Aass Pilsner;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass Bayer;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass Blanc;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass Cider;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
St. Hallvards El Hefe;;25;Prisklasse; Ekstern;;;;;;60;0;;;;;
;;;Prisklasse; Intern;;;;;;55;0;;;;;
Aass Fatøl;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass Pale Ale;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass Lite Vienna Lager;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass IPA;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Aass IPA Papaya&Guava;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Havnevåg American Pale Ale;;25;Prisklasse; Ekstern;;;;;;45;0;;;;;
;;;Prisklasse; Intern;;;;;;40;0;;;;;
Asahi Super Dry;;25;Prisklasse; Ekstern;;;;;;50;0;;;;;
;;;Prisklasse; Intern;;;;;;45;0;;;;;
Coors Light;;25;Prisklasse; Ekstern;;;;;;40;0;;;;;
;;;Prisklasse; Intern;;;;;;35;0;;;;;
Kinn Pryl;;25;Prisklasse; Ekstern;;;;;;105;0;;;;;
